"","controller","condition","item","rt","NA","subject","group"
"1665","DashedSentence",-0.5,"2",2586,"FALSE","Native 8","Native"
"1669","DashedSentence",-0.5,"7",3007,"FALSE","Native 8","Native"
"1685","DashedSentence",-0.5,"21",2842,"FALSE","Native 8","Native"
"1689","DashedSentence",-0.5,"5",3223,"FALSE","Native 8","Native"
"1701","DashedSentence",-0.5,"17",2849,"FALSE","Native 8","Native"
"1713","DashedSentence",-0.5,"11",3533,"FALSE","Native 8","Native"
"1721","DashedSentence",-0.5,"22",5132,"FALSE","Native 8","Native"
"1725","DashedSentence",-0.5,"15",3633,"FALSE","Native 8","Native"
"1737","DashedSentence",-0.5,"3",3302,"FALSE","Native 8","Native"
"1745","DashedSentence",-0.5,"8",2681,"FALSE","Native 8","Native"
"1749","DashedSentence",-0.5,"20",2499,"FALSE","Native 8","Native"
"1753","DashedSentence",-0.5,"13",3453,"FALSE","Native 8","Native"
"1781","DashedSentence",-0.5,"23",3323,"FALSE","Native 8","Native"
"1785","DashedSentence",-0.5,"6",3151,"FALSE","Native 8","Native"
"1789","DashedSentence",-0.5,"1",2322,"FALSE","Native 8","Native"
"1809","DashedSentence",-0.5,"20",2730,"FALSE","Native 9","Native"
"1817","DashedSentence",-0.5,"5",4896,"FALSE","Native 9","Native"
"1829","DashedSentence",-0.5,"7",6145,"FALSE","Native 9","Native"
"1841","DashedSentence",-0.5,"19",5686,"FALSE","Native 9","Native"
"1845","DashedSentence",-0.5,"12",2118,"FALSE","Native 9","Native"
"1849","DashedSentence",-0.5,"3",5320,"FALSE","Native 9","Native"
"1869","DashedSentence",-0.5,"10",1812,"FALSE","Native 9","Native"
"1881","DashedSentence",-0.5,"14",2752,"FALSE","Native 9","Native"
"1885","DashedSentence",-0.5,"18",3873,"FALSE","Native 9","Native"
"1901","DashedSentence",-0.5,"13",3598,"FALSE","Native 9","Native"
"1909","DashedSentence",-0.5,"21",4427,"FALSE","Native 9","Native"
"1921","DashedSentence",-0.5,"9",1977,"FALSE","Native 9","Native"
"1925","DashedSentence",-0.5,"4",2697,"FALSE","Native 9","Native"
"1933","DashedSentence",-0.5,"15",3190,"FALSE","Native 9","Native"
"1937","DashedSentence",-0.5,"6",1869,"FALSE","Native 9","Native"
"1945","DashedSentence",-0.5,"22",2029,"FALSE","Native 9","Native"
"1965","DashedSentence",-0.5,"8",1823,"FALSE","Native 9","Native"
"1969","DashedSentence",-0.5,"11",2087,"FALSE","Native 9","Native"
"1973","DashedSentence",-0.5,"2",2522,"FALSE","Native 9","Native"
"1981","DashedSentence",-0.5,"17",3459,"FALSE","Native 9","Native"
"1985","DashedSentence",-0.5,"16",2999,"FALSE","Native 9","Native"
"1997","DashedSentence",-0.5,"24",2891,"FALSE","Native 9","Native"
"2001","DashedSentence",-0.5,"1",2205,"FALSE","Native 9","Native"
"2005","DashedSentence",-0.5,"23",2396,"FALSE","Native 9","Native"
"2027","DashedSentence",-0.5,"14",2903,"FALSE","Native 10","Native"
"2031","DashedSentence",-0.5,"7",7909,"FALSE","Native 10","Native"
"2035","DashedSentence",-0.5,"19",5150,"FALSE","Native 10","Native"
"2043","DashedSentence",-0.5,"9",4332,"FALSE","Native 10","Native"
"2055","DashedSentence",-0.5,"4",4641,"FALSE","Native 10","Native"
"2063","DashedSentence",-0.5,"8",4792,"FALSE","Native 10","Native"
"2067","DashedSentence",-0.5,"5",2817,"FALSE","Native 10","Native"
"2075","DashedSentence",-0.5,"6",4010,"FALSE","Native 10","Native"
"2079","DashedSentence",-0.5,"1",3675,"FALSE","Native 10","Native"
"2099","DashedSentence",-0.5,"21",2878,"FALSE","Native 10","Native"
"2103","DashedSentence",-0.5,"2",3782,"FALSE","Native 10","Native"
"2115","DashedSentence",-0.5,"16",4458,"FALSE","Native 10","Native"
"2131","DashedSentence",-0.5,"12",3593,"FALSE","Native 10","Native"
"2143","DashedSentence",-0.5,"17",6331,"FALSE","Native 10","Native"
"2155","DashedSentence",-0.5,"13",2438,"FALSE","Native 10","Native"
"2163","DashedSentence",-0.5,"3",2105,"FALSE","Native 10","Native"
"2167","DashedSentence",-0.5,"18",6906,"FALSE","Native 10","Native"
"2183","DashedSentence",-0.5,"10",3837,"FALSE","Native 10","Native"
"2191","DashedSentence",-0.5,"22",4296,"FALSE","Native 10","Native"
"2203","DashedSentence",-0.5,"24",5298,"FALSE","Native 10","Native"
"2219","DashedSentence",-0.5,"11",4394,"FALSE","Native 10","Native"
"2227","DashedSentence",-0.5,"23",3342,"FALSE","Native 10","Native"
"2231","DashedSentence",-0.5,"15",2616,"FALSE","Native 10","Native"
"2239","DashedSentence",-0.5,"20",2879,"FALSE","Native 10","Native"
"2255","DashedSentence",-0.5,"10",5914,"FALSE","Native 11","Native"
"2259","DashedSentence",-0.5,"3",10419,"FALSE","Native 11","Native"
"2267","DashedSentence",-0.5,"20",2681,"FALSE","Native 11","Native"
"2291","DashedSentence",-0.5,"6",3224,"FALSE","Native 11","Native"
"2303","DashedSentence",-0.5,"24",2029,"FALSE","Native 11","Native"
"2311","DashedSentence",-0.5,"5",6742,"FALSE","Native 11","Native"
"2323","DashedSentence",-0.5,"7",6634,"FALSE","Native 11","Native"
"2327","DashedSentence",-0.5,"11",8469,"FALSE","Native 11","Native"
"2335","DashedSentence",-0.5,"18",3871,"FALSE","Native 11","Native"
"2351","DashedSentence",-0.5,"23",6392,"FALSE","Native 11","Native"
"2355","DashedSentence",-0.5,"17",5143,"FALSE","Native 11","Native"
"2363","DashedSentence",-0.5,"4",2527,"FALSE","Native 11","Native"
"2371","DashedSentence",-0.5,"21",6526,"FALSE","Native 11","Native"
"2379","DashedSentence",-0.5,"22",3508,"FALSE","Native 11","Native"
"2383","DashedSentence",-0.5,"13",7270,"FALSE","Native 11","Native"
"2391","DashedSentence",-0.5,"16",3427,"FALSE","Native 11","Native"
"2399","DashedSentence",-0.5,"15",4992,"FALSE","Native 11","Native"
"2407","DashedSentence",-0.5,"14",2621,"FALSE","Native 11","Native"
"2419","DashedSentence",-0.5,"19",6673,"FALSE","Native 11","Native"
"2427","DashedSentence",-0.5,"1",4399,"FALSE","Native 11","Native"
"2431","DashedSentence",-0.5,"8",3318,"FALSE","Native 11","Native"
"2447","DashedSentence",-0.5,"2",2608,"FALSE","Native 11","Native"
"2455","DashedSentence",-0.5,"9",3900,"FALSE","Native 11","Native"
"2463","DashedSentence",-0.5,"12",3143,"FALSE","Native 11","Native"
"2475","DashedSentence",-0.5,"6",2932,"FALSE","Native 12","Native"
"2495","DashedSentence",-0.5,"21",4510,"FALSE","Native 12","Native"
"2507","DashedSentence",-0.5,"15",4252,"FALSE","Native 12","Native"
"2511","DashedSentence",-0.5,"9",4061,"FALSE","Native 12","Native"
"2519","DashedSentence",-0.5,"7",4727,"FALSE","Native 12","Native"
"2523","DashedSentence",-0.5,"5",7298,"FALSE","Native 12","Native"
"2527","DashedSentence",-0.5,"8",3474,"FALSE","Native 12","Native"
"2539","DashedSentence",-0.5,"14",5971,"FALSE","Native 12","Native"
"2543","DashedSentence",-0.5,"20",3929,"FALSE","Native 12","Native"
"2555","DashedSentence",-0.5,"18",3992,"FALSE","Native 12","Native"
"2559","DashedSentence",-0.5,"4",4599,"FALSE","Native 12","Native"
"2563","DashedSentence",-0.5,"2",5589,"FALSE","Native 12","Native"
"2595","DashedSentence",-0.5,"23",2255,"FALSE","Native 12","Native"
"2607","DashedSentence",-0.5,"24",5270,"FALSE","Native 12","Native"
"2615","DashedSentence",-0.5,"3",3073,"FALSE","Native 12","Native"
"2623","DashedSentence",-0.5,"13",3091,"FALSE","Native 12","Native"
"2627","DashedSentence",-0.5,"11",4530,"FALSE","Native 12","Native"
"2631","DashedSentence",-0.5,"1",2463,"FALSE","Native 12","Native"
"2635","DashedSentence",-0.5,"10",4286,"FALSE","Native 12","Native"
"2639","DashedSentence",-0.5,"16",4809,"FALSE","Native 12","Native"
"2647","DashedSentence",-0.5,"12",4324,"FALSE","Native 12","Native"
"2655","DashedSentence",-0.5,"22",6059,"FALSE","Native 12","Native"
"2667","DashedSentence",-0.5,"19",1922,"FALSE","Native 12","Native"
"2671","DashedSentence",-0.5,"17",2730,"FALSE","Native 12","Native"
"2701","DashedSentence",-0.5,"17",3553,"FALSE","Native 13","Native"
"2713","DashedSentence",-0.5,"23",4560,"FALSE","Native 13","Native"
"2721","DashedSentence",-0.5,"5",2604,"FALSE","Native 13","Native"
"2725","DashedSentence",-0.5,"8",3498,"FALSE","Native 13","Native"
"2729","DashedSentence",-0.5,"24",2741,"FALSE","Native 13","Native"
"2733","DashedSentence",-0.5,"22",2804,"FALSE","Native 13","Native"
"2749","DashedSentence",-0.5,"9",2597,"FALSE","Native 13","Native"
"2753","DashedSentence",-0.5,"12",2438,"FALSE","Native 13","Native"
"2765","DashedSentence",-0.5,"4",1752,"FALSE","Native 13","Native"
"2773","DashedSentence",-0.5,"7",1932,"FALSE","Native 13","Native"
"2777","DashedSentence",-0.5,"19",3281,"FALSE","Native 13","Native"
"2797","DashedSentence",-0.5,"21",2071,"FALSE","Native 13","Native"
"2801","DashedSentence",-0.5,"14",1584,"FALSE","Native 13","Native"
"2805","DashedSentence",-0.5,"18",1549,"FALSE","Native 13","Native"
"2813","DashedSentence",-0.5,"6",5619,"FALSE","Native 13","Native"
"2829","DashedSentence",-0.5,"16",2281,"FALSE","Native 13","Native"
"2833","DashedSentence",-0.5,"3",5440,"FALSE","Native 13","Native"
"2837","DashedSentence",-0.5,"1",1874,"FALSE","Native 13","Native"
"2845","DashedSentence",-0.5,"11",3221,"FALSE","Native 13","Native"
"2853","DashedSentence",-0.5,"20",1653,"FALSE","Native 13","Native"
"2857","DashedSentence",-0.5,"15",4208,"FALSE","Native 13","Native"
"2865","DashedSentence",-0.5,"2",1943,"FALSE","Native 13","Native"
"2873","DashedSentence",-0.5,"10",1849,"FALSE","Native 13","Native"
"2881","DashedSentence",-0.5,"13",3077,"FALSE","Native 13","Native"
"2927","DashedSentence",-0.5,"11",3800,"FALSE","Native 14","Native"
"2931","DashedSentence",-0.5,"15",5871,"FALSE","Native 14","Native"
"2935","DashedSentence",-0.5,"21",5362,"FALSE","Native 14","Native"
"2939","DashedSentence",-0.5,"23",5429,"FALSE","Native 14","Native"
"2951","DashedSentence",-0.5,"18",5723,"FALSE","Native 14","Native"
"2955","DashedSentence",-0.5,"5",3256,"FALSE","Native 14","Native"
"2967","DashedSentence",-0.5,"17",8143,"FALSE","Native 14","Native"
"2979","DashedSentence",-0.5,"10",7639,"FALSE","Native 14","Native"
"2983","DashedSentence",-0.5,"2",5078,"FALSE","Native 14","Native"
"2987","DashedSentence",-0.5,"13",6695,"FALSE","Native 14","Native"
"3003","DashedSentence",-0.5,"20",9141,"FALSE","Native 14","Native"
"3007","DashedSentence",-0.5,"8",3581,"FALSE","Native 14","Native"
"3011","DashedSentence",-0.5,"6",3874,"FALSE","Native 14","Native"
"3019","DashedSentence",-0.5,"24",7983,"FALSE","Native 14","Native"
"3027","DashedSentence",-0.5,"14",8520,"FALSE","Native 14","Native"
"3031","DashedSentence",-0.5,"9",3085,"FALSE","Native 14","Native"
"3043","DashedSentence",-0.5,"19",3571,"FALSE","Native 14","Native"
"3075","DashedSentence",-0.5,"3",3881,"FALSE","Native 14","Native"
"3079","DashedSentence",-0.5,"12",6793,"FALSE","Native 14","Native"
"3087","DashedSentence",-0.5,"22",5425,"FALSE","Native 14","Native"
"3091","DashedSentence",-0.5,"16",4120,"FALSE","Native 14","Native"
"3099","DashedSentence",-0.5,"4",4289,"FALSE","Native 14","Native"
"3111","DashedSentence",-0.5,"7",4231,"FALSE","Native 14","Native"
"3127","DashedSentence",-0.5,"1",3535,"FALSE","Native 14","Native"
"3157","DashedSentence",-0.5,"24",3778,"FALSE","Native 15","Native"
"3161","DashedSentence",-0.5,"11",5314,"FALSE","Native 15","Native"
"3169","DashedSentence",-0.5,"1",3051,"FALSE","Native 15","Native"
"3177","DashedSentence",-0.5,"13",4312,"FALSE","Native 15","Native"
"3181","DashedSentence",-0.5,"9",4443,"FALSE","Native 15","Native"
"3185","DashedSentence",-0.5,"5",5967,"FALSE","Native 15","Native"
"3205","DashedSentence",-0.5,"21",4664,"FALSE","Native 15","Native"
"3209","DashedSentence",-0.5,"23",6693,"FALSE","Native 15","Native"
"3217","DashedSentence",-0.5,"14",3592,"FALSE","Native 15","Native"
"3221","DashedSentence",-0.5,"6",3840,"FALSE","Native 15","Native"
"3225","DashedSentence",-0.5,"2",3346,"FALSE","Native 15","Native"
